----------------------------------------------------------------------------------------------------------------------------------------------------------------------
ID-EMPLEADO | NOMBRE                    | APELLIDO                  | DIRECCION                                          | COD-POSTAL | TIP-DOC | NRO-DOC  | TELEFONO
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
12566708    | CASTILLON                 | FELICITA VICTORIA         | Diagonal Norte 910                                 |       7908 | DNI     | 30447322 | 8009-9891
12566709    | SANCHEZ                   | PAOLA DEL ROSARIO         | Av. Corrientes 1236                                |       2267 | CI      | 19497196 | 8424-9234
12566711    | SANCHEZ                   | ELIZABETH LUZ             | Florida 474                                        |       4342 | LE      | 49953351 | 6500-2735
12566714    | MENACHO                   | PEDRO ALFONSO             | Av. Cordoba 1467                                   |       2437 | DNI     | 16241899 | 7921-1868
12566718    | APARICIO                  | KENYI ARIADNA             | Av. de Mayo 602                                    |       5020 | CI      | 29970092 |
12566719    | FERNANDEZ                 | URSULA MARIA              | Av. Santa Fe 1310                                  |       6175 | LC      | 42941604 |
12566720    | JARA                      | JUAN                      | Av. Santa Fe 802                                   |       8045 | LE      | 34646361 | 9583-6107
12566725    | TASAYCO                   | ROSA HELLEN               | Av. Corrientes 1820                                |       1288 | DNI     | 47934471 | 5807-7199
12566730    | COLOMA                    | JIMMY VICTOR              | Av. Santa Fe 1740                                  |       2866 | DNI     | 14765038 | 7007-1450
12566731    | REED                      | EDWIN EDDY                | Rodriguez Peña 1572                                |       2719 | DNI     | 25273790 |
12566732    | FERNANDEZ CONCHA          | MARIA LAURA               | Alicia M. de Justo 350                             |       4011 | DNI     | 19473731 |
12566733    | NIQUEN                    | MIGUEL                    | Av. Callao 1600                                    |       1813 | DNI     | 27184205 | 9894-2447
12566734    | JIMENEZ                   | JULISSA LIZETH            | Av. Rivadavia 2215                                 |       7605 | CI      | 21533380 |
12566735    | SANCHEZ                   | RUTH OLINDA               | Av. Santa Fe 2139                                  |       8144 | DNI     | 45855840 |
12566737    | VALDEZ                    | ESTHER MARICEL            | Av. Las Heras 2055                                 |       1309 | DNI     | 44236430 | 7527-9693
12566738    | AVANTO                    | GUIDO                     | Juana Manso 1189                                   |       2500 | DNI     | 43688495 | 5170-1304
12566739    | PARDO                     | MARIBEL CRISPINA          | Av. San Juan 387                                   |       5285 | DNI     | 46851823 |
12566740    | PERSIVALE                 | CARLOS                    | Peña 2383                                          |       1377 | DNI     | 16592553 |
12566743    | MARTINEZ                  | CLAUDIA ROZANA            | Av. Las Heras 2324                                 |       2277 | DNI     | 16729960 | 5765-5372
12566744    | TORRES                    | SANDRA FRANCESCA          | Av. Pueyrredon 539                                 |       7531 | CI      | 15913803 | 6224-7303
12566745    | TRUJILLO                  | MARISSEL ALICIA           | Av. Independencia 2676                             |       2017 | LC      | 30640690 | 4336-36
12566746    | MARCELO                   | MAXIMO GRIGORIY           | Av. Santa Fe 2822                                  |       4554 | LE      | 42646996 | 6634-9900
12566749    | RIVERA                    | EDDY GUILLERMO            | Av. Corrientes 3202                                |       5595 | DNI     | 24364308 | 7033-916
12566751    | ORTEGA                    | JOSE MIGUEL GIUSEPPI      | Av. Rivadavia 310                                  |       8810 | DNI     | 45728178 |
12566753    | VARELA                    | JOSE LUIS                 | Republica Dominicana 3358                          |       5722 | CI      | 29855344 | 9368-6503
12566754    | HANDAL DE NAVEA           | KARIM ARACELLY            | Av. Santa Fe 3380                                  |       5698 | LC      | 30958999 | 7753-2810
12566755    | SANCHEZ                   | PATRICK                   | Montes de Oca 894                                  |       2781 | LE      | 29816390 |
12566756    | RIVERA                    | CARLOS                    | Scalabrini Ortiz 3149                              |       3185 | DNI     | 19375673 | 7070-3837
12566757    | SILVERA                   | CELIA VICTORIA            | Esteban Adrogué 1052 / 58                          |       7660 | DNI     | 17238907 |
12566758    | CAPCHA                    | ALDO JOSE                 | Silverio Almiró 21 / 29                            |       6380 | DNI     | 42211979 | 8595-3186
