--------------------------------------------------------------------------------------
ID-EMPLEADO | NOMBRE                    | APELLIDO                  | IMPORTE
--------------------------------------------------------------------------------------
12566708    | CASTILLON                 | FELICITA VICTORIA         |             0,00
12566709    | SANCHEZ                   | PAOLA DEL ROSARIO         |             0,00
12566710    | CAJAS                     | BETTY GENARA              |             0,00
12566711    | SANCHEZ                   | ELIZABETH LUZ             |             0,00
12566712    | NOVOA                     | LUCY                      |             0,00
12566714    | MENACHO                   | PEDRO ALFONSO             |             0,00
12566718    | APARICIO                  | KENYI ARIADNA             |             0,00
12566719    | FERNANDEZ                 | URSULA MARIA              |             0,00
12566720    | JARA                      | JUAN                      |             0,00
12566725    | TASAYCO                   | ROSA HELLEN               |             0,00
12566730    | COLOMA                    | JIMMY VICTOR              |             0,00
12566731    | REED                      | EDWIN EDDY                |             0,00
12566732    | FERNANDEZ CONCHA          | MARIA LAURA               |             0,00
12566733    | NIQUEN                    | MIGUEL                    |             0,00
12566734    | JIMENEZ                   | JULISSA LIZETH            |             0,00
12566735    | SANCHEZ                   | RUTH OLINDA               |             0,00
12566737    | VALDEZ                    | ESTHER MARICEL            |             0,00
12566738    | AVANTO                    | GUIDO                     |             0,00
12566739    | PARDO                     | MARIBEL CRISPINA          |             0,00
12566740    | PERSIVALE                 | CARLOS                    |             0,00
12566743    | MARTINEZ                  | CLAUDIA ROZANA            |             0,00
12566744    | TORRES                    | SANDRA FRANCESCA          |             0,00
12566745    | TRUJILLO                  | MARISSEL ALICIA           |             0,00
12566746    | MARCELO                   | MAXIMO GRIGORIY           |             0,00
12566749    | RIVERA                    | EDDY GUILLERMO            |             0,00
12566751    | ORTEGA                    | JOSE MIGUEL GIUSEPPI      |             0,00
12566753    | VARELA                    | JOSE LUIS                 |             0,00
12566754    | HANDAL DE NAVEA           | KARIM ARACELLY            |             0,00
12566755    | SANCHEZ                   | PATRICK                   |             0,00
12566756    | RIVERA                    | CARLOS                    |             0,00
12566757    | SILVERA                   | CELIA VICTORIA            |             0,00
12566758    | CAPCHA                    | ALDO JOSE                 |             0,00
12566759    | GARCIA                    | ELIZABETH MARIA           |             0,00
12566762    | PACHAS                    | JUANA BERTHA              |             0,00
12566764    | FREITAS                   | LUIS ALEJANDRO            |             0,00
12566766    | DONGO                     | JUAN CARLOS               |             0,00
12566767    | OVIEDO                    | YOLANDA                   |             0,00
12566768    | SUING                     | JODY MERCEDES             |             0,00
12566773    | SEGOVIA                   | ALFREDO JAIME             |             0,00
12566778    | AYALA                     | ELVIA                     |             0,00
12566779    | GALVAN                    | ROSA CECILIA              |             0,00
12566780    | BERNAOLA                  | ELZA                      |             0,00
12566781    | PINEDA                    | ANTONIETA JANET           |             0,00
12566782    | NORTON                    | BRENDA CAROL              |             0,00
12566783    | SALAS                     | PATRICIA CAROL            |             0,00
12566785    | GONZALES                  | MARIA FRANCISCA           |             0,00
12566786    | ASCURRA                   | PERCY AGUSTIN             |             0,00
12566787    | RUIZ                      | ALONSO ALEJANDRO          |             0,00
12566788    | NAVAS                     | ELSA JANET                |             0,00
12566791    | POLLERI                   | NICOLE ADRIANA            |             0,00
12566792    | POSADAS                   | JUAN JOSE                 |             0,00
12566793    | RIVAS                     | ROSANGELA VERONICA        |             0,00
12566794    | CACERES                   | ROLANDO                   |             0,00
12566797    | VELA                      | ISABELITA                 |             0,00
12566799    | JACOBE                    | ANDRES ALEJANDRO          |             0,00
12566801    | TASAYCO                   | JOSE LUIS                 |             0,00
12566802    | BERROSPI                  | JAVIER FERNANDO           |             0,00
12566803    | MEJORADA                  | MANUEL HERNAN             |             0,00
12566804    | ABARCA                    | GLHINDA MARLENY           |             0,00
12566805    | GUERRA                    | EMMA ELINA                |             0,00
12566806    | CASTRO                    | CECILIA YOVANA            |             0,00
12566807    | ESPINOZA                  | MARIA LOURDES             |             0,00
12566810    | CASTILLON                 | NESTOR ALCIDES            |             0,00
12566812    | COA                       | LUCAS                     |             0,00
12566814    | ASTETE                    | ANDRES FRANCISCO          |             0,00
12566815    | SAMANAMUD                 | FABIAN JOHANN             |             0,00
12566816    | BELLIDO                   | ISELA LILIANA             |             0,00
12566821    | LOYOLA                    | JUAN MARTIN               |             0,00
12566826    | GALVEZ                    | BENITA                    |             0,00
12566827    | LENTA                     | JOSIAH MATTEO             |             0,00
12566828    | MEZARINA                  | LUCA TIMOTHY              |             0,00
12566829    | ROBANCHO                  | MARIA PIA                 |             0,00
12566830    | ALVAREZ                   | ALEXANDER GEORGE          |             0,00
12566831    | VIDAL                     | EDGARD GUSTAVO            |             0,00
12566833    | SOSA                      | MARIA DE JESUS            |             0,00
12566834    | ALFARO                    | MARIA ROCIO               |             0,00
12566835    | ANTEZANA                  | ALEXA RAE                 |             0,00
12566836    | CORTEZ                    | SEVASTIAN ISAIAH          |             0,00
12566839    | VASQUEZ                   | ALESSANDRO                |             0,00
12566840    | ACHA                      | SANDRO PABLO              |             0,00
12566841    | BARRENECHEA               | FERNANDO                  |             0,00
12566842    | DAVILA                    | ANA CECILIA               |             0,00
12566845    | TORRES                    | MILLIE JANELLE            |             0,00
12566847    | CARRILLO                  | JOSE HUMBERTO             |             0,00
12566849    | SANTOLALLA                | GABRIELA DENISSE          |             0,00
12566850    | CACERES                   | JESSICA ANDREA            |             0,00
12566851    | VARGAS                    | OLGA VICTORIA             |             0,00
12566852    | LUQUE                     | JULIA                     |             0,00
12566853    | MILLA                     | ROSSANA ELIZABETH         |             0,00
12566854    | ALVAREZ                   | JULIO CESAR               |             0,00
12566855    | VARGAS                    | CARLOS ALEJANDRO          |             0,00
12566858    | MOSCOSO                   | IAN MATHIS                |             0,00
12566860    | PACUSSICH                 | ASCENCION                 |             0,00
12566862    | PECHO                     | FERNANDO                  |             0,00
12566863    | RIVASPLATA                | SUT LAN                   |             0,00
12566864    | ALARCON                   | CARMEN PATRICIA           |             0,00
12566869    | VARGAS                    | DELIA LUCIA               |             0,00
12566874    | CAJAS                     | DENISE BELINDA            |             0,00
12566875    | CARDENAS                  | HUGO ALBERTO              |             0,00
12566876    | TONG                      | RUTH TANIA                |             0,00
12566877    | YUI                       | LEONOR DORIS              |             0,00
12566878    | ECHEVARRIA                | OMAR                      |             0,00
12566879    | FERNANDEZ                 | THIAGO                    |             0,00
12566881    | YU                        | VANESSA SAMANTA           |             0,00
12566882    | MOLINA                    | BRENDA YOLIZA             |             0,00
12566883    | SIFUENTES                 | ELISA INES                |             0,00
12566884    | FARJE                     | JORGE EDUARDO             |             0,00
12566887    | SALAS                     | KAREN ANGELICA            |             0,00
12566888    | APARCANA                  | GINO PAOLO                |             0,00
12566889    | MORON                     | JOSIAH MATTEO             |             0,00
12566890    | NUVE                      | LUCA TIMOTHY              |             0,00
12566893    | FONSECA                   | MARIA DE LOS ANGELES      |             0,00
12566895    | ROSALES                   | SAMY ADAM                 |             0,00
12566897    | JAVIER                    | HAYRO GABRIEL             |             0,00
12566898    | RAMIREZ                   | MANUEL ANTONIO            |             0,00
12566899    | VEXLER                    | MARIA CECILIA             |             0,00
12566900    | DOMINGUEZ                 | PAMELA LESLIE             |             0,00
12566901    | MIANI                     | DARLING SOFIA             |             0,00
12566902    | HOLGUIN                   | TERESA                    |             0,00
12566903    | LA PORTILLA               | JUAN CARLOS               |             0,00
12566906    | GARCIA                    | ANNY IDA                  |             0,00
12566908    | MONTENEGRO                | ZARA JULIETA              |             0,00
12566910    | PAICO                     | JORGE                     |             0,00
12566911    | VILCHEZ                   | MANUEL LEONARDO           |             0,00
12566912    | GALARRETA                 | DAVID ANGELO              |             0,00
12566917    | SALINAS                   | GENESIS DEZARIE           |             0,00
12566922    | BARRIENTOS                | YAN PIERRE                |             0,00
12566923    | ZAVALETA                  | AARON                     |             0,00
12566924    | LOPEZ                     | BRANDON                   |             0,00
12566925    | SANCHEZ                   | INGRID                    |             0,00
12566926    | CALDERON                  | BIANCA CECILIA            |             0,00
12566927    | IZQUIERDO                 | DANIEL ALBERTO            |             0,00
12566929    | MORENO                    | ISABELITA                 |             0,00
12566930    | DE CAVERO                 | DENISE BELINDA            |             0,00
12566931    | GARCIA                    | HILDA MILAGRITOS          |             0,00
12566932    | BAZAN                     | RAUL ANGEL JOSE           |             0,00
12566935    | VILLALOBOS                | LUIS ALEJANDRO            |             0,00
12566936    | ARIAS                     | GLORIA MARGARITA          |             0,00
12566937    | CASTRO                    | ROSA ELVIRA               |             0,00
12566938    | COLLAZOS                  | RAFAEL                    |             0,00
12566941    | ZAMALLOA                  | LEONEL SAUL               |             0,00
12566943    | SORIANO                   | CARMEN ROSA               |             0,00
12566945    | RODRIGUEZ                 | JESSE ALEXANDER           |             0,00
12566946    | CARRANZA                  | JESSICA ANDREA            |             0,00
12566947    | PARI                      | LILA CHARLIZE             |             0,00
12566948    | CASO                      | LUISA ESPERANZA           |             0,00
12566949    | MUÑOZ                     | MILTON ANGELO             |             0,00
12566950    | FOSTER                    | VIVIANA VANESSA           |             0,00
12566951    | HIDALGO                   | LILIANA CATALINA          |             0,00
12566954    | CALDERON                  | SHIRLEY                   |             0,00
12566956    | CALIZAYA                  | TIMOTEO                   |             0,00
12566958    | LEO                       | JENNY ISABEL              |             0,00
12566959    | MORILLA                   | ROXANA MIRTHA             |             0,00
12566960    | HERNANDEZ                 | EDUARDO ANGEL             |             0,00
12566965    | RAMIREZ                   | DANIEL FRANCISCO          |             0,00
12566970    | MILJANOVICH               | ENRIQUE ARTURO            |             0,00
12566971    | RAGOSTA                   | MYRKA VALERY              |             0,00
12566972    | DE LA CRUZ                | NICOLE ADRIANA            |             0,00
12566973    | ZANABRIA                  | LUCY                      |             0,00
12566974    | ALVAREZ                   | CARMEN PILAR              |             0,00
12566975    | CASTILLO                  | JORGE JACKSON             |             0,00
12566977    | OCHARAN                   | ANABEL ALEXANDRA          |             0,00
12566978    | ORTIZ                     | MARY GLADYS               |             0,00
12566979    | TEVES                     | MARIA DIONELLA            |             0,00
12566980    | LORENA                    | MILAGROS GISELLE          |             0,00
12566983    | VEGA                      | ROSENDO PABLO             |             0,00
12566984    | CIUDAD                    | HIPOLITO ABRIL            |             0,00
12566985    | MATTOS                    | ESTEFANI                  |             0,00
12566986    | HONOR                     | GEANELLA CAROLINE         |             0,00
12566989    | HOYOS                     | LISSETTE                  |             0,00
12566991    | SEGURA                    | PATRICE ANNE              |             0,00
12566993    | RETAMOZO                  | JULISSA LIZETH            |             0,00
12566994    | RUIZ                      | GLADYS HORTENCIA          |             0,00
12566995    | SOUQUON                   | JOSE                      |             0,00
12566996    | BARCENA                   | MARTHA ANGELICA           |             0,00
12566997    | ROJAS                     | YESHICA ROMINA            |             0,00
12566998    | CAMPOS                    | CARLOS ALBERTO            |             0,00
12566999    | RONCO                     | ERICK SEBASTIAN           |             0,00
12567002    | APARICIO                  | MARIA ELENA               |             0,00
12567004    | PAREDES                   | MARTHA ANGELICA           |             0,00
12567006    | MOLERO                    | EVARISTA PAULA            |             0,00
12567007    | PAREDES                   | ESPERANZA                 |             0,00
12567008    | AVENDAÑO                  | IVONNE ELIZABETH          |             0,00
12567013    | SANDOVAL DE MEZA          | HUGO ANDRES               |             0,00
12567018    | TORRES                    | HECTOR LUIS               |             0,00
12567019    | VASQUEZ                   | JULIO GUILLERMO           |             0,00
12567020    | MENDOZA                   | MARIA DEL CARMEN          |             0,00
12567021    | RENGIFO                   | HILDA MILAGRITOS          |             0,00
12567022    | LEON VDA DE ZARZOSA       | GABRIELA DENISSE          |             0,00
12567023    | SALCEDO                   | MARIA ESTHER              |             0,00
12567025    | SIMMONS                   | LUCINDA MARGOT            |             0,00
12567026    | BARTUREN                  | MARIA ELENA               |             0,00
12567027    | SILVA                     | OBDULIA                   |             0,00
